system:index,area_m2,count,crop,date,full,mean,name,valid_frac,.geo
20250119T014001_20250119T014003_T53SPA_0,3020,28,コシヒカリ 原種,2025-01-19,28,0.5546844433291274,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-01-19,21,0.3398460000183274,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-01-19,7,0.21963299546732784,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-01-19,14,0.38036159035899975,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-01-19,14,0.31331997452376237,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_5,3830,40,コシヒカリ 原種,2025-01-19,27,0.3907947930822197,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_6,4120,50,コシヒカリ 原原種・原種,2025-01-19,36,0.3101635240580285,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_7,3000,29,コシヒカリ 原種,2025-01-19,27,0.3806447464751337,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-01-19,12,0.6352871000625286,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_9,4040,32,あきさかり 原種,2025-01-19,35,0.5178695088646882,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_10,3960,32,ハナエチゼン 原種,2025-01-19,28,0.22919930143033224,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_11,1810,20,休耕,2025-01-19,15,0.47172169409932596,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_12,1870,16,越南315号 原種,2025-01-19,12,0.3025978262413564,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_13,3610,42,キヌヒカリ 原原種・原種,2025-01-19,30,0.4177859889690498,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_14,1090,15,休耕,2025-01-19,6,0.4301586938815685,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_15,3560,36,いちほまれ 原種,2025-01-19,30,0.28561251428648116,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPA_16,1080,12,休耕,2025-01-19,6,0.37916218791676753,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_0,3020,28,コシヒカリ 原種,2025-01-19,28,0.5582977020160914,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-01-19,21,0.3414848814040717,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-01-19,7,0.21948481208295523,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-01-19,14,0.3816977420906189,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-01-19,14,0.31451094824024617,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_5,3830,40,コシヒカリ 原種,2025-01-19,27,0.3937667555697527,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_6,4120,50,コシヒカリ 原原種・原種,2025-01-19,36,0.31141406927109316,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_7,3000,29,コシヒカリ 原種,2025-01-19,27,0.3827758462830823,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-01-19,12,0.6391526237213536,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_9,4040,32,あきさかり 原種,2025-01-19,35,0.5205467782755467,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_10,3960,32,ハナエチゼン 原種,2025-01-19,28,0.2285430459082516,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_11,1810,20,休耕,2025-01-19,15,0.47488751448083777,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_12,1870,16,越南315号 原種,2025-01-19,12,0.3025943373747215,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_13,3610,42,キヌヒカリ 原原種・原種,2025-01-19,30,0.4204054457965626,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_14,1090,15,休耕,2025-01-19,6,0.43346676046703503,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_15,3560,36,いちほまれ 原種,2025-01-19,30,0.28556192717068785,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T014001_20250119T014003_T53SPV_16,1080,12,休耕,2025-01-19,6,0.3818208719391663,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_2,1740,8,県大3号・はねうまもち 系統・原原原種・原原種,2025-01-24,7,0.23989229404796092,A3,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-01-24,14,0.3452963505707883,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-01-24,14,0.28855757230565265,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_6,4120,38,コシヒカリ 原原種・原種,2025-01-24,36,0.2935580110483244,B2,1.0555555555555556,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_7,3000,29,コシヒカリ 原種,2025-01-24,27,0.3529084386408801,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-01-24,12,0.5843545749600119,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_11,1810,12,休耕,2025-01-24,15,0.4474030097115024,C3,0.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_12,1870,16,越南315号 原種,2025-01-24,12,0.3035216461468921,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_13,3610,42,キヌヒカリ 原原種・原種,2025-01-24,30,0.3763541899712351,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_14,1090,15,休耕,2025-01-24,6,0.4100525504617666,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_15,3560,36,いちほまれ 原種,2025-01-24,30,0.2828672810482858,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPA_16,1080,12,休耕,2025-01-24,6,0.3715154683866126,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_2,1740,8,県大3号・はねうまもち 系統・原原原種・原原種,2025-01-24,7,0.23526063193982777,A3,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-01-24,14,0.33728795208450624,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-01-24,14,0.27877899673300893,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_6,4120,38,コシヒカリ 原原種・原種,2025-01-24,36,0.2832228501744479,B2,1.0555555555555556,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_7,3000,29,コシヒカリ 原種,2025-01-24,27,0.3403452601788224,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-01-24,12,0.5744860704235633,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_11,1810,12,休耕,2025-01-24,15,0.4377612503271122,C3,0.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_12,1870,16,越南315号 原種,2025-01-24,12,0.296194333478898,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_13,3610,42,キヌヒカリ 原原種・原種,2025-01-24,30,0.3661588293513827,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_14,1090,15,休耕,2025-01-24,6,0.39898401806029954,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_15,3560,36,いちほまれ 原種,2025-01-24,30,0.2772685197718547,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T013849_20250124T013847_T53SPV_16,1080,12,休耕,2025-01-24,6,0.3606833633294492,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_0,3020,28,コシヒカリ 原種,2025-03-10,28,0.4962893224079767,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-03-10,21,0.3294208395490113,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-03-10,7,0.19744586012110713,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-03-10,14,0.33238706409545443,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-03-10,14,0.2628376518461802,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_5,3830,40,コシヒカリ 原種,2025-03-10,27,0.37625972382733375,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_6,4120,50,コシヒカリ 原原種・原種,2025-03-10,36,0.31897639653007004,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_7,3000,29,コシヒカリ 原種,2025-03-10,27,0.426973726969117,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-03-10,12,0.5066946605553945,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_9,4040,32,あきさかり 原種,2025-03-10,35,0.4134610119766073,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_10,3960,32,ハナエチゼン 原種,2025-03-10,28,0.18900518707552327,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_11,1810,20,休耕,2025-03-10,15,0.44817050310408557,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_12,1870,16,越南315号 原種,2025-03-10,12,0.2560767623148248,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_13,3610,42,キヌヒカリ 原原種・原種,2025-03-10,30,0.41802851266459184,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_14,1090,15,休耕,2025-03-10,6,0.3605729755987119,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_15,3560,36,いちほまれ 原種,2025-03-10,30,0.25088821439343967,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPA_16,1080,12,休耕,2025-03-10,6,0.29855587053612836,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_0,3020,28,コシヒカリ 原種,2025-03-10,28,0.4801145124337857,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-03-10,21,0.32043710838333006,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-03-10,7,0.2022382355336347,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-03-10,14,0.32733164675588344,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-03-10,14,0.25978489430075974,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_5,3830,40,コシヒカリ 原種,2025-03-10,27,0.3648623960947723,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_6,4120,50,コシヒカリ 原原種・原種,2025-03-10,36,0.31140219393967966,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_7,3000,29,コシヒカリ 原種,2025-03-10,27,0.4030986174777879,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-03-10,12,0.49192688557208686,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_9,4040,32,あきさかり 原種,2025-03-10,35,0.40752586065820096,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_10,3960,32,ハナエチゼン 原種,2025-03-10,28,0.19441642790759658,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_11,1810,20,休耕,2025-03-10,15,0.4364053202377797,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_12,1870,16,越南315号 原種,2025-03-10,12,0.2578014642825024,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_13,3610,42,キヌヒカリ 原原種・原種,2025-03-10,30,0.4024630409583125,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_14,1090,15,休耕,2025-03-10,6,0.3538065434251722,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_15,3560,36,いちほまれ 原種,2025-03-10,30,0.2535069949474832,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250310T013711_20250310T013718_T53SPV_16,1080,12,休耕,2025-03-10,6,0.29389248260966083,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250404T013649_20250404T013650_T53SPV_5,3830,19,コシヒカリ 原種,2025-04-04,27,0.20454641055301326,B1,0.7037037037037037,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250404T013649_20250404T013650_T53SPV_6,4120,45,コシヒカリ 原原種・原種,2025-04-04,36,0.12135084416439508,B2,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250404T013649_20250404T013650_T53SPV_11,1810,20,休耕,2025-04-04,15,0.35000395707084764,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250404T013649_20250404T013650_T53SPV_12,1870,13,越南315号 原種,2025-04-04,12,0.20970508668032095,C4,1.0833333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250404T013649_20250404T013650_T53SPV_15,3560,27,いちほまれ 原種,2025-04-04,30,0.218867152051872,D1,0.9,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250404T013649_20250404T013650_T53SPV_16,1080,9,休耕,2025-04-04,6,0.18214427562307617,D2,1.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_0,3020,28,コシヒカリ 原種,2025-04-09,28,0.29146858747852644,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-04-09,21,0.24873238976657142,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-04-09,7,0.13768357694853778,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-04-09,14,0.36805190652775704,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-04-09,14,0.24026116046143692,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_5,3830,40,コシヒカリ 原種,2025-04-09,27,0.38814450737843825,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_6,4120,50,コシヒカリ 原原種・原種,2025-04-09,36,0.2841255307477708,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_7,3000,29,コシヒカリ 原種,2025-04-09,27,0.35171708384005806,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-04-09,12,0.6276539815708392,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_9,4040,32,あきさかり 原種,2025-04-09,35,0.5985346999033265,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_10,3960,32,ハナエチゼン 原種,2025-04-09,28,0.23811508671609252,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_11,1810,20,休耕,2025-04-09,15,0.5030874108747568,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_12,1870,16,越南315号 原種,2025-04-09,12,0.17472552240668046,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_13,3610,42,キヌヒカリ 原原種・原種,2025-04-09,30,0.3529148637709135,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_14,1090,15,休耕,2025-04-09,6,0.4298149446311699,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_15,3560,36,いちほまれ 原種,2025-04-09,30,0.335418193963635,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPA_16,1080,12,休耕,2025-04-09,6,0.38692730768346395,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_0,3020,28,コシヒカリ 原種,2025-04-09,28,0.2915624097885279,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-04-09,21,0.2515348835687834,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-04-09,7,0.1446388931205336,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-04-09,14,0.36551458803766884,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-04-09,14,0.24090198328789084,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_5,3830,40,コシヒカリ 原種,2025-04-09,27,0.38415582245137564,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_6,4120,50,コシヒカリ 原原種・原種,2025-04-09,36,0.2849536680550057,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_7,3000,29,コシヒカリ 原種,2025-04-09,27,0.3479757386634069,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-04-09,12,0.6166726383367651,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_9,4040,32,あきさかり 原種,2025-04-09,35,0.5895401107931965,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_10,3960,32,ハナエチゼン 原種,2025-04-09,28,0.24197213705012308,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_11,1810,20,休耕,2025-04-09,15,0.49590532746435145,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_12,1870,16,越南315号 原種,2025-04-09,12,0.18094170454426178,C4,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_13,3610,42,キヌヒカリ 原原種・原種,2025-04-09,30,0.3517438288661482,C5,1.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_14,1090,15,休耕,2025-04-09,6,0.42591140694638585,C6,2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_15,3560,36,いちほまれ 原種,2025-04-09,30,0.3367344389467273,D1,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250409T013711_20250409T014521_T53SPV_16,1080,12,休耕,2025-04-09,6,0.3837114126076788,D2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_0,3020,28,コシヒカリ 原種,2025-04-14,28,0.3187053355341816,A1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_1,2950,28,はねうまもち 系統・原原原種・原原種,2025-04-14,21,0.2826298687833033,A2,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_2,1740,14,県大3号・はねうまもち 系統・原原原種・原原種,2025-04-14,7,0.17430440587635002,A3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_3,1440,18,"カグラモチ 原原種・原種（A4-1+A4-2, 幅19m）",2025-04-14,14,0.43571297424775524,A4,1.2857142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_4,2189,26,"越南315号・系統・イクヒカリ（A5-1〜3, 幅28m）",2025-04-14,14,0.3056658257157288,A5,1.8571428571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_5,3830,40,コシヒカリ 原種,2025-04-14,27,0.45119287875911507,B1,1.4814814814814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_6,4120,50,コシヒカリ 原原種・原種,2025-04-14,36,0.18539944704356912,B2,1.3888888888888888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_7,3000,29,コシヒカリ 原種,2025-04-14,27,0.38158671163040386,B3,1.0740740740740742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_8,2420,17,ファイバースノウ 系統・原原原種・原原種,2025-04-14,12,0.7011077011267853,B4,1.4166666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_9,4040,32,あきさかり 原種,2025-04-14,35,0.6853037980579555,C1,0.9142857142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_10,3960,32,ハナエチゼン 原種,2025-04-14,28,0.11213501038077826,C2,1.1428571428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250414T013659_20250414T013653_T53SPA_11,1810,20,休耕,2025-04-14,15,0.22788738050842935,C3,1.3333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
